"","x"
"1","KMO"
"2","SLC22A1"
"3","TRIM3"
"4","SLCO2B1"
"5","OAT"
"6","ASL"
"7","ALDH2"
"8","MPO"
"9","CYP2E1"
"10","FBP1"
"11","CYP2D6"
"12","MBL2"
"13","CYP2C9"
"14","UGT2B7"
"15","FAH"
"16","AKR1C4"
"17","COMT"
"18","UGT1A1"
"19","MRC1"
"20","GPT"
"21","ACADL"
"22","ECHS1"
"23","CPS1"
"24","HPD"
"25","ACSL1"
"26","PCK1"
"27","HMGCS2"
"28","FOXK1"
"29","MAT1A"
"30","SORD"
"31","AKAP12"
"32","DPYS"
"33","GNMT"
"34","RGN"
"35","PCK2"
"36","UGP2"
"37","ACSM3"
"38","FAM83H"
"39","CHD1L"
"40","PHKB"
"41","EHMT2"
"42","ACSS2"
"43","PEMT"
"44","HDAC6"
"45","OGDHL"
"46","NDRG2"
"47","CRYL1"
"48","TRRAP"
"49","SLCO1B1"
"50","ACOT7"
"51","CLIC1"
"52","DNM1L"
"53","PES1"
"54","DDX3X"
"55","SCD"
"56","HGS"
"57","HNRNPDL"
"58","XPO1"
"59","GNPAT"
"60","OGT"
"61","HMGB3"
"62","ABCC3"
"63","DENR"
"64","AKR1B10"
"65","KDM1A"
"66","TIPRL"
"67","NUP155"
"68","PSMD10"
"69","AHSA1"
"70","SERPINA3"
"71","HLA-A"
"72","APOE"
"73","FN1"
"74","THY1"
"75","HSPB1"
"76","PTMA"
"77","NPM1"
"78","ANXA2"
"79","HNRNPC"
"80","ABCB1"
"81","CFH"
"82","HNRNPA1"
"83","PARP1"
"84","TOP1"
"85","G6PD"
"86","IGF2R"
"87","PCNA"
"88","XRCC5"
"89","PKM"
"90","MMP9"
"91","FABP4"
"92","NCK1"
"93","EPCAM"
"94","STMN1"
"95","HMGA1"
"96","XRCC1"
"97","VCAM1"
"98","HK1"
"99","POLR2E"
"100","EIF2S2"
"101","LMNB1"
"102","SFPQ"
"103","CDK2"
"104","PTBP1"
"105","MAPK3"
"106","DPP4"
"107","RPA1"
"108","APEX1"
"109","MAPK1"
"110","GRN"
"111","MARCKS"
"112","CLIP1"
"113","HSPA4"
"114","SERPINF1"
"115","NUP62"
"116","TAGLN2"
"117","COL18A1"
"118","MTOR"
"119","CASP3"
"120","RPS27"
"121","MSH2"
"122","RECQL"
"123","UTRN"
"124","CD151"
"125","NASP"
"126","FHIT"
"127","GMPS"
"128","PPOX"
"129","SMARCA4"
"130","HCFC1"
"131","CSE1L"
"132","ADAR"
"133","RBX1"
"134","SUMO1"
"135","DYNLL1"
"136","RAE1"
"137","MRPS5"
"138","HSPG2"
"139","HNRNPU"
"140","CTBS"
"141","RELA"
"142","PTK2"
"143","GABPA"
"144","TJP1"
"145","KHDRBS1"
"146","BAX"
"147","DHX9"
"148","ILF2"
"149","PPFIA1"
"150","CBX3"
"151","SQSTM1"
"152","RIPK1"
"153","HDAC1"
"154","CIRBP"
"155","FHL2"
"156","CASP8"
"157","CHD4"
"158","POSTN"
"159","PEA15"
"160","PLEC"
"161","NONO"
"162","RHEB"
"163","SAFB"
"164","SF3B4"
"165","SMAD2"
"166","ADIPOQ"
"167","MAPK14"
"168","MAN2A1"
"169","TMEM176B"
"170","PDCD4"
"171","FNDC3B"
"172","PDLIM3"
"173","ANO1"
"174","MAP1S"
"175","IRF2BP2"
"176","SERPINA11"
"177","METTL3"
"178","CARM1"
"179","CPSF7"
"180","GOLM1"
"181","PRPF31"
"182","BRI3BP"
"183","NDRG1"
"184","HDAC2"
"185","CELF1"
"186","PSMG2"
"187","FUBP1"
"188","MRPL38"
"189","ZFR"
"190","TSG101"
"191","CADM1"
"192","XPO4"
"193","NAT10"
"194","VPS33B"
"195","WNK1"
"196","GOLPH3"
"197","XPO5"
"198","ABCB6"
"199","MLXIPL"
"200","TIGAR"
"201","RPRD1B"
"202","BIRC6"
"203","VPS51"
"204","RAB22A"
"205","SRRM2"
"206","RUVBL1"
"207","UFC1"
"208","TLN2"
